class,mse,count
0,0.004958988406520802,1000
1,0.0024214513780898414,1000
2,0.005201926763693337,1000
3,0.005137185121187941,1000
4,0.004630795879755169,1000
5,0.007754185224766843,1000
6,0.006094340427080169,1000
7,0.004324558180058375,1000
8,0.008146344151813537,1000
9,0.004521514854277484,1000
